individual_id,ch,sex,gender,capture_1,capture_2,capture_3,capture_4,capture_5,capture_6,capture_7
dipper_249,0100000,Male,1,0,1,0,0,0,0,0
dipper_250,0100000,Male,1,0,1,0,0,0,0,0
dipper_251,0100000,Male,1,0,1,0,0,0,0,0
dipper_252,0100000,Male,1,0,1,0,0,0,0,0
dipper_253,0110000,Female,0,0,1,1,0,0,0,0
dipper_254,0110000,Female,0,0,1,1,0,0,0,0
dipper_255,0110000,Female,0,0,1,1,0,0,0,0
dipper_256,0110000,Female,0,0,1,1,0,0,0,0
dipper_257,0110000,Male,1,0,1,1,0,0,0,0
dipper_258,0110000,Male,1,0,1,1,0,0,0,0
dipper_259,0110000,Male,1,0,1,1,0,0,0,0
dipper_260,0110000,Male,1,0,1,1,0,0,0,0
dipper_261,0110000,Male,1,0,1,1,0,0,0,0
dipper_262,0110000,Male,1,0,1,1,0,0,0,0
dipper_263,0110000,Male,1,0,1,1,0,0,0,0
dipper_264,0110110,Female,0,0,1,1,0,1,1,0
dipper_265,0111000,Female,0,0,1,1,1,0,0,0
dipper_266,0111000,Male,1,0,1,1,1,0,0,0
dipper_267,0111100,Female,0,0,1,1,1,1,0,0
dipper_268,0111100,Female,0,0,1,1,1,1,0,0
dipper_269,0111100,Male,1,0,1,1,1,1,0,0
dipper_270,0111110,Female,0,0,1,1,1,1,1,0
dipper_271,0111111,Female,0,0,1,1,1,1,1,1
dipper_272,0111111,Female,0,0,1,1,1,1,1,1
dipper_273,1000000,Female,0,1,0,0,0,0,0,0
dipper_274,1000000,Female,0,1,0,0,0,0,0,0
dipper_275,1000000,Female,0,1,0,0,0,0,0,0
dipper_276,1000000,Female,0,1,0,0,0,0,0,0
dipper_277,1000000,Male,1,1,0,0,0,0,0,0
dipper_278,1000000,Male,1,1,0,0,0,0,0,0
dipper_279,1000000,Male,1,1,0,0,0,0,0,0
dipper_280,1000000,Male,1,1,0,0,0,0,0,0
dipper_281,1000000,Male,1,1,0,0,0,0,0,0
dipper_282,1010000,Female,0,1,0,1,0,0,0,0
dipper_283,1010000,Male,1,1,0,1,0,0,0,0
dipper_284,1100000,Female,0,1,1,0,0,0,0,0
dipper_285,1100000,Female,0,1,1,0,0,0,0,0
dipper_286,1100000,Male,1,1,1,0,0,0,0,0
dipper_287,1100000,Male,1,1,1,0,0,0,0,0
dipper_288,1100000,Male,1,1,1,0,0,0,0,0
dipper_289,1100000,Male,1,1,1,0,0,0,0,0
dipper_290,1101110,Female,0,1,1,0,1,1,1,0
dipper_291,1111000,Female,0,1,1,1,1,0,0,0
dipper_292,1111000,Male,1,1,1,1,1,0,0,0
dipper_293,1111100,Female,0,1,1,1,1,1,0,0
dipper_294,1111110,Male,1,1,1,1,1,1,1,0
