model_name,aic,n_parameters,lambda_mean,delta_aic,aic_weight,phi_(Intercept),p_(Intercept),f_(Intercept),f_gender,f_age,f_tier_history,phi_gender,phi_age,phi_tier_history
φ(gender) p(1) f(1),14592.369141,4,0.615932,6443.280273999999,0.0,0.098559,-0.937033,-2.393468,,,,0.0,,
φ(1) p(1) f(gender + age),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,0.0,,,,
φ(1) p(1) f(gender + tier_history),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,0.0,,,
φ(1) p(1) f(age + tier_history),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,0.0,,,
φ(gender) p(1) f(gender),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,,0.0,,
φ(gender) p(1) f(age),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,,0.0,,
φ(gender) p(1) f(tier_history),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,,,0.0,0.0,,
φ(age) p(1) f(tier_history),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,,,0.0,,0.0,
φ(age) p(1) f(age),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,,,0.0,
φ(gender + age) p(1) f(1),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,,,,0.0,0.0,
φ(age) p(1) f(gender),14594.369141,5,0.615932,6445.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,,,0.0,
φ(gender) p(1) f(gender + tier_history),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,0.0,0.0,,
φ(gender) p(1) f(gender + age),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,0.0,,0.0,,
φ(gender + age) p(1) f(tier_history),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,,,0.0,0.0,0.0,
φ(gender + age) p(1) f(age),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,,0.0,0.0,
φ(gender + age) p(1) f(gender),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,,0.0,0.0,
φ(gender) p(1) f(age + tier_history),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,0.0,0.0,,
φ(age) p(1) f(age + tier_history),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,0.0,,0.0,
φ(age) p(1) f(gender + tier_history),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,0.0,,0.0,
φ(age) p(1) f(gender + age),14596.369141,6,0.615932,6447.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,0.0,,,0.0,
φ(gender + age) p(1) f(age + tier_history),14598.369141,7,0.615932,6449.280273999999,0.0,0.098559,-0.937033,-2.393468,,0.0,0.0,0.0,0.0,
φ(gender + age) p(1) f(gender + tier_history),14598.369141,7,0.615932,6449.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,,0.0,0.0,0.0,
φ(gender + age) p(1) f(gender + age),14598.369141,7,0.615932,6449.280273999999,0.0,0.098559,-0.937033,-2.393468,0.0,0.0,,0.0,0.0,
